2013-01-01	5			
2013-02-01	4			
2013-03-01	9			
2013-04-01	2			
2013-05-01	6			
2013-06-01	0			
2013-07-01	5			
2013-08-01	5			
2013-09-01	23			
2013-10-01	16			
2013-11-01	12			
2013-12-01	7			
2014-01-01	22			
2014-02-01	19			
2014-03-01	45			
2014-04-01	24			
2014-05-01	31			
2014-06-01	25			
2014-07-01	0			
2014-08-01	9			
2014-09-01	46			
2014-10-01	49			
2014-11-01	14			
2014-12-01	13			
2015-01-01	20			
2015-02-01	13			
2015-03-01	12			
2015-04-01	16			
2015-05-01	19			
2015-06-01	2			
2015-07-01	5			
2015-08-01	0			
2015-09-01	7			
2015-10-01	13			
2015-11-01	6			
2015-12-01	3			
2016-01-01	1			
2016-02-01	1			
2016-03-01	2			
2016-04-01	6			
2016-05-01	8			
2016-06-01	0			
2016-07-01	0			
2016-08-01	1			
2016-09-01	3			
2016-10-01	0			
2016-11-01	4			
2016-12-01	1			
2017-01-01	5			
2017-02-01	2			
2017-03-01	20			
2017-04-01	21			
2017-05-01	40			
2017-06-01	2			
2017-07-01	4			
2017-08-01	20			